# S3M Vendor Repos Manifest
# Auto-generated from packages/integrations/*/*/manifest.yaml
# Format: domain|slug|url|license|name
# Total entries: 447
# Generated: 2026-04-10T09:16:48.296924+00:00
cyber|enterprise-soc-detection-and-response-wa|https://github.com/THeOLdMAn48/Enterprise-SOC-Detection-and-Response-Wazuh|Unknown|Enterprise-SOC-Detection-and-Response-Wazuh
cyber|graylog|https://github.com/Graylog2/graylog2-server|Unknown|graylog
cyber|gsvsoc-cirt-playbook-battle-cards|https://github.com/guardsight/gsvsoc_cirt-playbook-battle-cards|Unknown|gsvsoc_cirt-playbook-battle-cards
cyber|incident-playbook|https://github.com/austinsonger/Incident-Playbook|Unknown|Incident-Playbook
cyber|incident-response-plan-template|https://github.com/counteractive/incident-response-plan-template|Unknown|incident-response-plan-template
cyber|it-security-management-system-dashboard|https://github.com/Secu7/IT-Security-Management-System-Dashboard|Unknown|IT-Security-Management-System-Dashboard
cyber|misp|https://github.com/MISP/MISP|Unknown|MISP
cyber|open-source-siem-soc-stack|https://github.com/ArfanAbid/Open-Source-SIEM_SOC-Stack|Unknown|Open-Source-SIEM_SOC-Stack
cyber|phantomcyber-playbooks|https://github.com/phantomcyber/playbooks|Unknown|phantomcyber/playbooks
cyber|playbooks|https://github.com/socfortress/Playbooks|Unknown|Playbooks
cyber|security-onion|https://github.com/Security-Onion-Solutions/security-onion|Unknown|security-onion
cyber|shuffle|https://github.com/shuffle (main repo)|Unknown|shuffle
cyber|soc-automation-with-automated-response-f|https://github.com/Jaykitkukadiya/Soc-automation-with-automated-response-for-malware-and-malicious-IP-connect|Unknown|Soc-automation-with-automated-response-for-malware-and-malicious-IP-connect
cyber|soc-cert-dashboard|https://github.com/joupify/soc-cert-dashboard|Unknown|soc-cert-dashboard
cyber|soc-multitool|https://github.com/zdhenard42/SOC-Multitool|Unknown|SOC-Multitool
cyber|soc-toolkit|https://github.com/phrp720/soc-toolkit|Unknown|soc-toolkit
cyber|thehive|https://github.com/TheHive-Project/TheHive|Unknown|TheHive
cyber|thehive-cortex-misp-docker-compose-lab|https://github.com/ls111-cybersec/thehive-cortex-misp-docker-compose-lab11update|Unknown|thehive-cortex-misp-docker-compose-lab
cyber|wazuh-rules|https://github.com/socfortress/Wazuh-Rules|Unknown|Wazuh-Rules
cyber|wazuh-soc-enterprise|https://github.com/brunoflausino/wazuh-soc-enterprise|Unknown|wazuh-soc-enterprise
cyber|wazuh-soc-lab|https://github.com/marxgoo/Wazuh-SOC-Lab|Unknown|Wazuh-SOC-Lab
cyber|wazuh-suricata|https://github.com/ADORSYS-GIS/wazuh-suricata|Unknown|wazuh-suricata
dashboard|actual|https://github.com/actualbudget/actual|MIT|Actual
dashboard|assume|https://github.com/assume-framework/assume|MIT|Assume
dashboard|awesome-asset-discovery-curated|https://github.com/redhuntlabs/Awesome-Asset-Discovery|MIT|Awesome-Asset-Discovery (Curated)
dashboard|awesome-threat-detection-curated|https://github.com/0x4D31/awesome-threat-detection|MIT|Awesome-Threat-Detection (Curated)
dashboard|battlesimulator|https://github.com/gregparkes/BattleSimulator|MIT|BattleSimulator
dashboard|datascienceinteractivepython|https://github.com/GeostatsGuy/DataScienceInteractivePython|MIT|DataScienceInteractivePython
dashboard|erpnext|https://github.com/frappe/erpnext|GPL-3.0|ERPNext
dashboard|evidently|https://github.com/evidentlyai/evidently|Apache 2.0|Evidently
dashboard|fleetbase|https://github.com/fleetbase/fleetbase|Apache 2.0|Fleetbase
dashboard|ghosts|https://github.com/cmu-sei/GHOSTS|Apache 2.0|GHOSTS
dashboard|industrace|https://github.com/industrace/industrace|MIT|Industrace
dashboard|jsbsim|https://github.com/JSBSim-Team/jsbsim|LGPL-2.1|JSBSim
dashboard|langfuse|https://github.com/langfuse/langfuse|MIT|Langfuse
dashboard|marmotte|https://github.com/marmotteio/marmotteio|MIT|Marmotte
dashboard|misp-dashboard|https://github.com/MISP/misp-dashboard|AGPL-3.0|MISP-Dashboard
dashboard|ocular|https://github.com/simonwep/ocular|MIT|Ocular
dashboard|opencti|https://github.com/OpenCTI-Platform/opencti|Apache 2.0|OpenCTI
dashboard|orbat-mapper|https://github.com/orbat-mapper/orbat-mapper|MIT|Orbat-Mapper
dashboard|panopticon-ai|https://github.com/Panopticon-AI-team/panopticon|MIT|Panopticon AI
dashboard|phoenix|https://github.com/Arize-ai/phoenix|Apache 2.0|Phoenix
dashboard|riskanalysiswithgenerativeaireasoning|https://github.com/bartczernicki/RiskAnalysisWithGenerativeAIReasoning|MIT|RiskAnalysisWithGenerativeAIReasoning
dashboard|rogueshield-ai-threat-detector|https://github.com/mahaswetaroy1/rogueshield-ai-threat-detector|MIT|RogueShield AI Threat Detector
dashboard|streamlit-cybersecurity-dashboard|https://github.com/ajitagupta/streamlit-cybersecurity-dashboard|MIT|Streamlit-Cybersecurity-Dashboard
dashboard|supply-chain-management-dashboard|https://github.com/GirishKumarV25/Supply-Chain-Management-Dashboard|MIT|Supply-Chain-Management-Dashboard
dashboard|supply-chain-performance-dashboard|https://github.com/PolinaBurova/Supply-Chain-Performance-Dashboard|MIT|Supply-Chain-Performance-Dashboard
dashboard|taiwan-situation|https://github.com/Pluto114/TaiWan-situation|MIT|TaiWan-Situation
dashboard|watcher|https://github.com/thalesgroup-cert/Watcher|Apache 2.0|Watcher
dashboard|world-monitor|https://github.com/koala73/worldmonitor|MIT|World Monitor
datasets|military-target-&-equipment-detection|https://github.com/KarthikPrabhu2541/Military-Target-and-Equipment-Detection|MIT (repo); dataset|Military Target & Equipment Detection
datasets|open-transport-data|https://github.com/ITSLeeds/opentransportdata|Various|Open Transport Data
datasets|panopticon-ai-scenarios|https://github.com/Panopticon-AI-team/panopticon|MIT|Panopticon AI Scenarios
datasets|vehicledetection-sar-small-object|https://github.com/KK-MUT/VehicleDetection|Request from authors|VehicleDetection (SAR Small Object)
hmi|aix360|https://github.com/Trusted-AI/AIX360|Apache 2.0|AIX360
hmi|alibi|https://github.com/SeldonIO/alibi|Apache 2.0|alibi
hmi|awesome-embodied-multimodal-llms|https://github.com/tulerfeng/Awesome-Embodied-Multimodal-LLMs|MIT|Awesome-Embodied-Multimodal-LLMs
hmi|awesome-embodied-vla-va-vln|https://github.com/jonyzhang2023/awesome-embodied-vla-va-vln|MIT|awesome-embodied-vla-va-vln
hmi|awesome-explainable-ai|https://github.com/rushrukh/awesome-explainable-ai|MIT|awesome-explainable-ai
hmi|awesome-explainable-reinforcement-learni|https://github.com/Plankson/awesome-explainable-reinforcement-learning|MIT|awesome-explainable-reinforcement-learning
hmi|awesome-machine-learning-interpretabilit|https://github.com/jphall663/awesome-machine-learning-interpretability|MIT|awesome-machine-learning-interpretability
hmi|awesome-multimodal-large-language-models|https://github.com/bradyfu/awesome-multimodal-large-language-models|MIT|awesome-multimodal-large-language-models
hmi|awesome-xai|https://github.com/altamiracorp/awesome-xai|MIT|awesome-xai
hmi|by-your-command|https://github.com/pondersome/by_your_command|MIT|by_your_command
hmi|captum|https://github.com/pytorch/captum|BSD|Captum
hmi|drwhy-modelstudio-etc.|https://github.com/ModelOriented/DrWhy|GPL-3.0|DrWhy (modelStudio etc.)
hmi|explainable-reinforcement-learning|https://github.com/observer4599/explainable-reinforcement-learning|MIT|explainable-reinforcement-learning
hmi|explainerdashboard|https://github.com/oegedijk/explainerdashboard|MIT|explainerdashboard
hmi|grafana-with-llm-plugins|https://github.com/grafana/grafana|AGPL-3.0|Grafana (with LLM plugins)
hmi|isaacs-interface|https://github.com/augcog/ISAACS_Interface|Apache 2.0|ISAACS_Interface
hmi|langfuse|https://github.com/langfuse/langfuse|MIT|langfuse
hmi|llm-controlled-drone|https://github.com/pratikPhadte/LLM-controlled-drone|MIT|LLM-controlled-drone
hmi|llm-ros2|https://github.com/LLMR-boringtao/LLM_ROS2|GPL-3.0|LLM_ROS2
hmi|modelstudio|https://github.com/ModelOriented/modelStudio|GPL-3.0|modelStudio
hmi|omnixai|https://github.com/salesforce/OmniXAI|BSD-3-Clause|OmniXAI
hmi|opik|https://github.com/comet-ml/opik|MIT|opik
hmi|phoenix|https://github.com/arize-ai/phoenix|Apache 2.0|phoenix
hmi|quantus|https://github.com/understandable-machine-intelligence-lab/Quantus|Apache 2.0|Quantus
hmi|ros-voice-assistant|https://github.com/victorcarvesk/ros-voice-assistant|MIT|ros-voice-assistant
hmi|uavs-meet-llms|https://github.com/Hub-Tian/UAVs_Meet_LLMs|MIT|UAVs_Meet_LLMs
hmi|ultravox|https://github.com/fixie-ai/ultravox|(Open weights)|ultravox
hmi|vision-voice-multimodal-app|https://github.com/EvanGks/vision-voice-multimodal-app|MIT|vision-voice-multimodal-app
hmi|vlms-with-ros2-workshop|https://github.com/nilutpolkashyap/vlms_with_ros2_workshop|MIT|vlms_with_ros2_workshop
hmi|xai-resources|https://github.com/pbiecek/xai_resources|MIT|xai_resources
intel|a-hybrid-arabic-text-summarization-appro|https://github.com/mohamedehab00/A-Hybrid-Arabic-Text-Summarization-Approach-based-on-Transformers|Unknown|A-Hybrid-Arabic-Text-Summarization-Approach-based-on-Transformers
intel|aegis|https://github.com/alex-armand-blumberg/AEGIS|Unknown|AEGIS
intel|arabic-abstractive-summarization|https://github.com/JoeFarag-00/Arabic-Abstractive-Summarization|Unknown|Arabic-Abstractive-Summarization
intel|awesome-osint|https://github.com/jivoi/awesome-osint|Unknown|awesome-osint
intel|awesome-osint-for-everything|https://github.com/Astrosp/Awesome-OSINT-For-Everything|Unknown|Awesome-OSINT-For-Everything
intel|briefing-agent|https://github.com/alexnix300/briefing-agent|Unknown|briefing-agent
intel|crisismap|https://github.com/realwaynesun/crisismap|Unknown|crisismap
intel|globalpulse|https://github.com/ntamero/globalpulse|Unknown|globalpulse
intel|holehe|https://github.com/megadose/holehe|Unknown|holehe
intel|legendary-osint|https://github.com/K2SOsint/Legendary_OSINT|Unknown|Legendary_OSINT
intel|meridian|https://github.com/iliane5/meridian|Unknown|meridian
intel|news-briefing-generator|https://github.com/grbtm/news-briefing-generator|Unknown|news-briefing-generator
intel|octosuite|https://github.com/bellingcat/octosuite|Unknown|octosuite
intel|osint|https://github.com/doctorfree/osint|Unknown|osint
intel|osint-bible|https://github.com/frangelbarrera/OSINT-BIBLE|Unknown|OSINT-BIBLE
intel|osint-framework|https://github.com/fr4nc1stein/osint-framework|Unknown|osint-framework
intel|osint-stuff-tool-collection|https://github.com/cipher387/osint_stuff_tool_collection|Unknown|osint_stuff_tool_collection
intel|phoneinfoga|https://github.com/sundowndev/phoneinfoga|Unknown|phoneinfoga
intel|recon-ng|https://github.com/lanmaster53/recon-ng|Unknown|recon-ng
intel|social-media-osint-tools-collection|https://github.com/osintambition/Social-Media-OSINT-Tools-Collection|Unknown|Social-Media-OSINT-Tools-Collection
intel|spiderfoot|https://github.com/smicallef/spiderfoot|Unknown|spiderfoot
intel|taiwan-situation|https://github.com/Pluto114/TaiWan-situation|Unknown|TaiWan-situation
intel|taranis-ai|https://github.com/taranis-ai/taranis-ai|Unknown|taranis-ai
intel|tigmint|https://github.com/TIGMINT/TIGMINT|Unknown|TIGMINT
intel|toutatis|https://github.com/megadose/toutatis|Unknown|toutatis
interop|air-c2-cop-python|https://github.com/Esri/air-c2-cop-python|Unknown|air-c2-cop-python
interop|awesome-command-control|https://github.com/tcostam/awesome-command-control|Unknown|awesome-command-control
interop|awesome-geospatial|https://github.com/sacridini/Awesome-Geospatial|Unknown|awesome-geospatial
interop|c2sim|https://github.com/gmuc4i/c2sim|Unknown|c2sim
interop|c2simartifacts|https://github.com/OpenC2SIM/C2SIMArtifacts|Unknown|C2SIMArtifacts
interop|clermont|https://github.com/SageHourihan/clermont|Unknown|clermont
interop|coredsunreal-samples|https://github.com/distributedsimulationtools/coreDSUnreal_Sample_AutomaticMode|Unknown|coreDSUnreal (samples)
interop|defense-solutions-proofs-of-concept|https://github.com/Esri/defense-solutions-proofs-of-concept|Unknown|defense-solutions-proofs-of-concept
interop|dis-tutorial|https://github.com/open-dis/dis-tutorial|Unknown|dis-tutorial
interop|ghosts-cyber-range-and-exercise-simulati|https://github.com/cmu-sei/ghosts-cyber-range-and-exercise-simulation-tools|Unknown|ghosts-cyber-range-and-exercise-simulation-tools
interop|msdllib|https://github.com/orbat-mapper/msdllib|Unknown|msdllib
interop|msg201cwix|https://github.com/OpenC2SIM/MSG201CWIX|Unknown|MSG201CWIX
interop|open-dis-cpp|https://github.com/open-dis/open-dis-cpp|Unknown|open-dis-cpp
interop|open-dis-java|https://github.com/open-dis/open-dis-java|Unknown|open-dis-java
interop|open-dis-python|https://github.com/open-dis/open-dis-python|Unknown|open-dis-python
interop|openc2sim.github.io|https://github.com/OpenC2SIM/OpenC2SIM.github.io|Unknown|OpenC2SIM.github.io
interop|simplec2sim|https://github.com/AVataRR626/SimpleC2Sim|Unknown|SimpleC2Sim
interop|tacticalmesh|https://github.com/TamTunnel/TacticalMesh|Unknown|TacticalMesh
maintenance|ai-powered-predictive-maintenance-system|https://github.com/Siddhartha80/AI-Powered-Predictive-Maintenance-System-for-Vehicles|Unknown|AI-Powered-Predictive-Maintenance-System-for-Vehicles
maintenance|allegro-ralph|https://github.com/allegro/ralph|Unknown|allegro/ralph
maintenance|armymanagementsystem|https://github.com/christos-pelekis/ArmyManagementSystem|Unknown|ArmyManagementSystem
maintenance|aws-fleet-predictive-maintenance|https://github.com/awslabs/aws-fleet-predictive-maintenance|Unknown|aws-fleet-predictive-maintenance
maintenance|dolibarr-dolibarr|https://github.com/dolibarr/dolibarr|Unknown|dolibarr/dolibarr
maintenance|fleetbase|https://github.com/fleetbase/fleetbase|Unknown|fleetbase
maintenance|fleetms|https://github.com/jmnda-dev/fleetms|Unknown|fleetms
maintenance|glpi-project-glpi|https://github.com/glpi-project/glpi|Unknown|glpi-project/glpi
maintenance|intelligent-supplychain-management-syste|https://github.com/akhil888binoy/Intelligent-Supplychain-Management-System|Unknown|Intelligent-Supplychain-Management-System
maintenance|militaryassetmanagementsystem|https://github.com/chiragSahani/MilitaryAssetManagementSystem|Unknown|MilitaryAssetManagementSystem
maintenance|ml-based-vehicle-predictive-maintenance-|https://github.com/iDharshan/ML-Based-Vehicle-Predictive-Maintenance-System-with-Real-Time-Visualization|Unknown|ML-Based-Vehicle-Predictive-Maintenance-System-with-Real-Time-Visualization
maintenance|nocobase-nocobase|https://github.com/nocobase/nocobase|Unknown|nocobase/nocobase
maintenance|open-msupply|https://github.com/msupply-foundation/open-msupply|Unknown|open-msupply
maintenance|openremote|https://github.com/openremote/openremote (fleet examples)|Unknown|openremote
maintenance|openxe-org-openxe|https://github.com/OpenXE-org/OpenXE|Unknown|OpenXE-org/OpenXE
maintenance|orangehrm-orangehrm|https://github.com/orangehrm/orangehrm|Unknown|orangehrm/orangehrm
maintenance|pmx-data|https://github.com/autonlab/pmx_data|Unknown|pmx_data
maintenance|predictive-maintenance|https://github.com/Sara-Esm/Predictive-Maintenance|Unknown|Predictive-Maintenance
maintenance|predictive-maintenance-of-aircraft-engin|https://github.com/archd3sai/Predictive-Maintenance-of-Aircraft-Engine|Unknown|Predictive-Maintenance-of-Aircraft-Engine
maintenance|predictive-maintenance-project|https://github.com/SureshAthanti/Predictive_Maintenance_Project|Unknown|Predictive_Maintenance_Project
maintenance|predictive-maintenance-with-mlops|https://github.com/Sengarofficial/Predictive_Maintenance_With_MLops|Unknown|Predictive_Maintenance_With_MLops
maintenance|procurement-management-system|https://github.com/Piumikavindya/Procurement-Management-System|Unknown|Procurement-Management-System
maintenance|real-time-predictive-maintenance-system-|https://github.com/EkeminiThompson/Real-Time-Predictive-Maintenance-System-for-Aircraft|Unknown|Real-Time-Predictive-Maintenance-System-for-Aircraft
maintenance|snipe-it|https://github.com/snipe/snipe-it|Unknown|snipe-it
military|aegis|https://github.com/Vitalcheffe/Aegis|Apache 2.0|Aegis
military|ardupilot|https://github.com/ArduPilot/ardupilot|GPL-3.0|ardupilot
military|autonomous-ai-drone-scripts|https://github.com/sieuwe1/Autonomous-Ai-drone-scripts|MIT|Autonomous-Ai-drone-scripts
military|autonomous-drone-simulator|https://github.com/jennamk14/autonomous_drone_simulator|MIT|autonomous_drone_simulator
military|autonomous-drone-swarm|https://github.com/CUSP-NYU/autonomous-drone-swarm|MIT|autonomous-drone-swarm
military|awesome-asset-discovery|https://github.com/redhuntlabs/Awesome-Asset-Discovery|MIT|Awesome-Asset-Discovery
military|awesome-security|https://github.com/sbilly/awesome-security|MIT|awesome-security
military|awesome-threat-intelligence|https://github.com/hslatman/awesome-threat-intelligence|MIT|awesome-threat-intelligence
military|awesome-threat-intelligence-adapt|https://github.com/hslatman/awesome-threat-intelligence|MIT|awesome-threat-intelligence (adapt)
military|battle-management-language-bml|https://github.com/c5i-gmu|Apache 2.0|Battle Management Language (BML)
military|battle-simulator|https://github.com/manos02/battle-simulator|MIT|battle-simulator
military|crazyswarm|https://github.com/USC-ACTLab/crazyswarm|MIT|crazyswarm
military|drone-swarm|https://github.com/iamrajee/drone_swarm|MIT|drone_swarm
military|glaws-spearbot|https://github.com/westpoint-robotics/GLAWS|MIT|GLAWS (SpearBot)
military|hunter-ua-drone|https://github.com/Ohara124c41/Hunter-UA-Drone|MIT|Hunter-UA-Drone
military|limited;-adapt-openmaint|https://github.com/openmaint/openmaint|AGPL-3.0|Limited; adapt OpenMAINT
military|malcolm|https://github.com/cisagov/Malcolm|AGPL-3.0|Malcolm
military|mav-multiagent-ws|https://github.com/ethz-asl/mav_multiagent_ws|(BSD-style)|mav_multiagent_ws
military|mavros|https://github.com/mavlink/mavros|BSD|mavros
military|metasploit|https://github.com/rapid7/metasploit-framework|BSD-3-Clause|Metasploit
military|military-ai|https://github.com/AI-Guru/military-ai|MIT (curated)|military-ai
military|military-management-fe|https://github.com/hduraimurugan/military-management-FE|MIT|military-management-FE
military|military-sim-old|https://github.com/ninest/military-sim-old|MIT|military-sim-old
military|multirobotexploration-robotarmy|https://github.com/abdulkadrtr/multiRobotExploration-RobotArmy|MIT|multiRobotExploration-RobotArmy
military|multirotor-launch-west-point|https://github.com/westpoint-robotics|MIT|multirotor_launch (West Point)
military|nikto|https://github.com/sullo/nikto|GPL-3.0|Nikto
military|ompl|https://github.com/ompl/ompl|BSD|ompl
military|open-dis|https://github.com/open-dis|BSD-3-Clause|Open-DIS
military|openlmis|https://github.com/OpenLMIS/openlmis-ref-distro|AGPL-3.0|OpenLMIS
military|openvas|https://github.com/greenbone/openvas-scanner|GPL-2.0|OpenVAS
military|orb-slam3|https://github.com/UZ-SLAMLab/ORB_SLAM3|(BSD-style)|ORB_SLAM3
military|osint-toolkit|https://github.com/dev-lu/osint_toolkit|MIT|osint_toolkit
military|ossec|https://github.com/ossec/ossec-hids|GPL-2.0|OSSEC
military|primaite|https://github.com/Autonomous-Resilient-Cyber-Defence/PrimAITE|Apache 2.0|PrimAITE
military|px4-autopilot|https://github.com/PX4/PX4-Autopilot|BSD-3-Clause|PX4-Autopilot
military|qgroundcontrol|https://github.com/mavlink/qgroundcontrol|Apache 2.0|qgroundcontrol
military|raise-the-openclaw|https://github.com/bgoldmann/Raise-The-OpenClaw|MIT|Raise-The-OpenClaw
military|signalrange|https://github.com/thkruz/SignalRange|MIT|SignalRange
military|snipe-it|https://github.com/snipe/snipe-it|AGPL-3.0|Snipe-IT
military|snort|https://github.com/snort3/snort3|GPL-2.0|Snort
military|vins-mono---vins-fusion|https://github.com/HKUST-Aerial-Robotics/VINS-Mono|(BSD-style)|VINS-Mono / VINS-Fusion
nato|acados-optimal-control-solver|https://github.com/acados/acados|BSD|ACADOS (optimal control solver)
nato|awesome-threat-intelligence-curated-list|https://github.com/hslatman/awesome-threat-intelligence|MIT|awesome-threat-intelligence (curated list)
nato|open-dis-distributed-interactive-simulat|https://github.com/open-dis|BSD-3-Clause|Open-DIS (Distributed Interactive Simulation)
nato|pytorch-core-ml-framework|https://github.com/pytorch/pytorch|BSD|PyTorch (core ML framework)
nato|suricata|https://github.com/OISF/suricata|GPL-2.0|Suricata
nato|wazuh|https://github.com/wazuh/wazuh|GPL-2.0|Wazuh
nato|zeek-formerly-bro|https://github.com/zeek/zeek|BSD-3-Clause|Zeek (formerly Bro)
navigation|acados|https://github.com/acados/acados|BSD|acados
navigation|autonomous-drone-navigation|https://github.com/ahmedeltaher/Autonomous-drone-navigation|MIT|Autonomous-drone-navigation
navigation|autonomous-drone-navigation-variants|https://github.com/topics/gps-denied|Varies|Autonomous-drone-navigation (variants)
navigation|awesome-tinyml|https://github.com/umitkacar/awesome-tinyml|MIT|awesome-tinyml
navigation|drone-path-predictor-ros|https://github.com/mzahana/drone_path_predictor_ros|MIT|drone_path_predictor_ros
navigation|inertialsense-ros2|https://github.com/byu-magicc/inertialsense_ros2|MIT|inertialsense_ros2
navigation|jetson-inference|https://github.com/dusty-nv/jetson-inference|MIT|jetson-inference
navigation|kr-autonomous-flight|https://github.com/KumarRobotics/kr_autonomous_flight|(BSD-style)|kr_autonomous_flight
navigation|li-slam-ros2|https://github.com/rsasaki0109/li_slam_ros2|(ROS2-style)|li_slam_ros2
navigation|lio-sam|https://github.com/TixiaoShan/LIO-SAM|(BSD-style)|LIO-SAM
